lifetime, velocity, clife, cof, face, fripscore
1500.0,3,1500.0,3.0,0.8,0.01043142
166.0,0.33,1500.0,3.0,0.8,0.06703861
166.0,1,1500.0,3.0,0.8,0.0158803
166.0,3,1500.0,3.0,0.8,0.00991668
500.0,0.33,1500.0,3.0,0.8,0.1141059
500.0,1,1500.0,3.0,0.8,0.01588222
500.0,3,1500.0,3.0,0.8,0.01100054
1500.0,0.33,30.0,1.0,0.8,0.15124889
1500.0,1,30.0,1.0,0.8,0.01434472
1500.0,3,30.0,1.0,0.8,0.01556102
166.0,0.33,30.0,1.0,0.8,0.06619667
166.0,1,30.0,1.0,0.8,0.0151308
166.0,3,30.0,1.0,0.8,0.01007639
500.0,0.33,30.0,1.0,0.8,0.11533198
500.0,1,30.0,1.0,0.8,0.01508256
500.0,3,30.0,1.0,0.8,0.00951313
1500.0,0.33,30.0,150.0,0.8,0.1479261
1500.0,1,30.0,150.0,0.8,0.01815468
1500.0,3,30.0,150.0,0.8,0.00621119
166.0,0.33,30.0,150.0,0.8,0.06737368
166.0,1,30.0,150.0,0.8,0.01618915
166.0,3,30.0,150.0,0.8,0.01105022
500.0,0.33,30.0,150.0,0.8,0.11834269
500.0,1,30.0,150.0,0.8,0.0149415
500.0,3,30.0,150.0,0.8,0.00949718
1500.0,0.33,30.0,3.0,0.8,0.15099025
1500.0,1,30.0,3.0,0.8,0.01929194
1500.0,3,30.0,3.0,0.8,0.01581774
166.0,0.33,30.0,3.0,0.8,0.06962116
166.0,1,30.0,3.0,0.8,0.01568566
166.0,3,30.0,3.0,0.8,0.01059516
500.0,0.33,30.0,3.0,0.8,0.11451902
500.0,1,30.0,3.0,0.8,0.01531463
500.0,3,30.0,3.0,0.8,0.00972554
1500.0,0.33,10.0,1.0,0.9,0.35567154
1500.0,1,10.0,1.0,0.9,0.02147828
1500.0,3,10.0,1.0,0.9,0.00488285
166.0,0.33,10.0,1.0,0.9,0.08605567
166.0,1,10.0,1.0,0.9,0.0230813
166.0,3,10.0,1.0,0.9,0.01212107
500.0,0.33,10.0,1.0,0.9,0.19800003
500.0,1,10.0,1.0,0.9,0.02352583
500.0,3,10.0,1.0,0.9,0.01458363
1500.0,0.33,10.0,150.0,0.9,0.36245275
1500.0,1,10.0,150.0,0.9,0.02557178
1500.0,3,10.0,150.0,0.9,0.00710161
166.0,0.33,10.0,150.0,0.9,0.08669004
166.0,1,10.0,150.0,0.9,0.02275477
166.0,3,10.0,150.0,0.9,0.01129036
500.0,0.33,10.0,150.0,0.9,0.20006171
500.0,1,10.0,150.0,0.9,0.02450553
500.0,3,10.0,150.0,0.9,0.00998326
1500.0,0.33,10.0,3.0,0.9,0.35836117
1500.0,1,10.0,3.0,0.9,0.0223774
1500.0,3,10.0,3.0,0.9,0.01219079
166.0,0.33,10.0,3.0,0.9,0.08547559
166.0,1,10.0,3.0,0.9,0.02365573
166.0,3,10.0,3.0,0.9,0.01115495
500.0,0.33,10.0,3.0,0.9,0.19699864
500.0,1,10.0,3.0,0.9,0.02213649
500.0,3,10.0,3.0,0.9,0.01324194
1500.0,0.33,1500.0,1.0,0.9,0.35848178
1500.0,1,1500.0,1.0,0.9,0.01916993
1500.0,3,1500.0,1.0,0.9,0.01282884
166.0,0.33,1500.0,1.0,0.9,0.0876594
166.0,1,1500.0,1.0,0.9,0.02351833
166.0,3,1500.0,1.0,0.9,0.01188227
500.0,0.33,1500.0,1.0,0.9,0.19401601
500.0,1,1500.0,1.0,0.9,0.02303886
500.0,3,1500.0,1.0,0.9,0.0126714
1500.0,0.33,1500.0,150.0,0.9,0.36054786
1500.0,1,1500.0,150.0,0.9,0.02065786
1500.0,3,1500.0,150.0,0.9,0.00953654
166.0,0.33,1500.0,150.0,0.9,0.08615476
166.0,1,1500.0,150.0,0.9,0.02258307
166.0,3,1500.0,150.0,0.9,0.01250525
500.0,0.33,1500.0,150.0,0.9,0.19591738
500.0,1,1500.0,150.0,0.9,0.02281117
500.0,3,1500.0,150.0,0.9,0.01151611
1500.0,0.33,1500.0,3.0,0.9,0.35903941
1500.0,1,1500.0,3.0,0.9,0.02544954
1500.0,3,1500.0,3.0,0.9,0.00852493
166.0,0.33,1500.0,3.0,0.9,0.08658846
166.0,1,1500.0,3.0,0.9,0.02275546
166.0,3,1500.0,3.0,0.9,0.01094732
500.0,0.33,1500.0,3.0,0.9,0.19920726
500.0,1,1500.0,3.0,0.9,0.02388531
500.0,3,1500.0,3.0,0.9,0.01061916
1500.0,0.33,30.0,1.0,0.9,0.35689109
1500.0,1,30.0,1.0,0.9,0.02364628
1500.0,3,30.0,1.0,0.9,0.00786754
166.0,0.33,30.0,1.0,0.9,0.0849895
166.0,1,30.0,1.0,0.9,0.02279125
166.0,3,30.0,1.0,0.9,0.01087408
500.0,0.33,30.0,1.0,0.9,0.20147536
500.0,1,30.0,1.0,0.9,0.02299219
500.0,3,30.0,1.0,0.9,0.01135105
1500.0,0.33,30.0,150.0,0.9,0.35447001
1500.0,1,30.0,150.0,0.9,0.01849078
1500.0,3,30.0,150.0,0.9,0.01233603
166.0,0.33,30.0,150.0,0.9,0.08644957
166.0,1,30.0,150.0,0.9,0.0226749
166.0,3,30.0,150.0,0.9,0.01093102
500.0,0.33,30.0,150.0,0.9,0.20032707
500.0,1,30.0,150.0,0.9,0.02342564
500.0,3,30.0,150.0,0.9,0.00991927
1500.0,0.33,30.0,3.0,0.9,0.35267093
1500.0,1,30.0,3.0,0.9,0.02652876
1500.0,3,30.0,3.0,0.9,0.01058061
166.0,0.33,30.0,3.0,0.9,0.08617113
166.0,1,30.0,3.0,0.9,0.02296309
166.0,3,30.0,3.0,0.9,0.01302159
500.0,0.33,30.0,3.0,0.9,0.19950068
500.0,1,30.0,3.0,0.9,0.02348703
500.0,3,30.0,3.0,0.9,0.0104027
1500.0,0.33,10.0,1.0,0,0.00967221
1500.0,1,10.0,1.0,0,0.00941637
1500.0,3,10.0,1.0,0,0.00424524
166.0,0.33,10.0,1.0,0,0.00962703
166.0,1,10.0,1.0,0,0.00939326
166.0,3,10.0,1.0,0,0.00896574
500.0,0.33,10.0,1.0,0,0.00948925
500.0,1,10.0,1.0,0,0.0098732
500.0,3,10.0,1.0,0,0.00998861
1500.0,0.33,10.0,150.0,0,0.01075855
1500.0,1,10.0,150.0,0,0.00750548
1500.0,3,10.0,150.0,0,0.00921617
166.0,0.33,10.0,150.0,0,0.00958267
166.0,1,10.0,150.0,0,0.00969672
166.0,3,10.0,150.0,0,0.00953525
500.0,0.33,10.0,150.0,0,0.00976915
500.0,1,10.0,150.0,0,0.00953495
500.0,3,10.0,150.0,0,0.00961288
1500.0,0.33,10.0,3.0,0,0.01030579
1500.0,1,10.0,3.0,0,0.0086652
1500.0,3,10.0,3.0,0,0.00789436
166.0,0.33,10.0,3.0,0,0.00973971
166.0,1,10.0,3.0,0,0.00933761
166.0,3,10.0,3.0,0,0.01050786
500.0,0.33,10.0,3.0,0,0.01000481
500.0,1,10.0,3.0,0,0.00995334
500.0,3,10.0,3.0,0,0.00816412
1500.0,0.33,1500.0,1.0,0,0.01101562
1500.0,1,1500.0,1.0,0,0.00920233
1500.0,3,1500.0,1.0,0,0.00547629
166.0,0.33,1500.0,1.0,0,0.00971831
166.0,1,1500.0,1.0,0,0.00937244
166.0,3,1500.0,1.0,0,0.01046219
500.0,0.33,1500.0,1.0,0,0.00936301
500.0,1,1500.0,1.0,0,0.00959536
500.0,3,1500.0,1.0,0,0.00908235
1500.0,0.33,1500.0,150.0,0,0.00953953
1500.0,1,1500.0,150.0,0,0.00992123
1500.0,3,1500.0,150.0,0,0.01245971
166.0,0.33,1500.0,150.0,0,0.00948229
166.0,1,1500.0,150.0,0,0.00951401
166.0,3,1500.0,150.0,0,0.00946678
500.0,0.33,1500.0,150.0,0,0.00960752
500.0,1,1500.0,150.0,0,0.0096003
500.0,3,1500.0,150.0,0,0.00746834
1500.0,0.33,1500.0,3.0,0,0.0093251
1500.0,1,1500.0,3.0,0,0.00962603
1500.0,3,1500.0,3.0,0,0.00694105
166.0,0.33,1500.0,3.0,0,0.00964382
166.0,1,1500.0,3.0,0,0.00975198
166.0,3,1500.0,3.0,0,0.00889489
500.0,0.33,1500.0,3.0,0,0.00935425
500.0,1,1500.0,3.0,0,0.00980128
500.0,3,1500.0,3.0,0,0.00948617
1500.0,0.33,30.0,1.0,0,0.00893843
1500.0,1,30.0,1.0,0,0.00856211
1500.0,3,30.0,1.0,0,0.01109376
166.0,0.33,30.0,1.0,0,0.00955583
166.0,1,30.0,1.0,0,0.00940362
166.0,3,30.0,1.0,0,0.0102339
500.0,0.33,30.0,1.0,0,0.00997051
500.0,1,30.0,1.0,0,0.01003326
500.0,3,30.0,1.0,0,0.00879189
1500.0,0.33,30.0,150.0,0,0.00939005
1500.0,1,30.0,150.0,0,0.00985573
1500.0,3,30.0,150.0,0,0.00926111
166.0,0.33,30.0,150.0,0,0.00949902
