lifetime, velocity, separation, clife, cof, face, fripscore
500.0,3,100,10.0,1.0,0.8,0.0097178
1500.0,0.33,100,10.0,150.0,0.8,0.15326713
1500.0,1,100,10.0,150.0,0.8,0.01285017
1500.0,3,100,10.0,150.0,0.8,0.01982379
166.0,0.33,100,10.0,150.0,0.8,0.06563924
166.0,1,100,10.0,150.0,0.8,0.0160023
166.0,3,100,10.0,150.0,0.8,0.00996781
500.0,0.33,100,10.0,150.0,0.8,0.11572223
500.0,1,100,10.0,150.0,0.8,0.01587021
500.0,3,100,10.0,150.0,0.8,0.00837783
1500.0,0.33,100,10.0,3.0,0.8,0.15306802
1500.0,1,100,10.0,3.0,0.8,0.01293045
1500.0,3,100,10.0,3.0,0.8,0.01771258
166.0,0.33,100,10.0,3.0,0.8,0.06730042
166.0,1,100,10.0,3.0,0.8,0.01636544
166.0,3,100,10.0,3.0,0.8,0.01037422
500.0,0.33,100,10.0,3.0,0.8,0.1155939
500.0,1,100,10.0,3.0,0.8,0.01634933
500.0,3,100,10.0,3.0,0.8,0.01213769
1500.0,1,100,15.0,15.0,0.8,0.01433312
1500.0,3,100,15.0,15.0,0.8,0.01374268
1500.0,1,300,15.0,15.0,0.8,0.015302727272727273
1500.0,3,300,15.0,15.0,0.8,0.005554757575757576
1500.0,1,500,15.0,15.0,0.8,0.01738645
1500.0,3,500,15.0,15.0,0.8,0.01361105
500.0,1,100,15.0,15.0,0.8,0.01532779
500.0,3,100,15.0,15.0,0.8,0.00862952
500.0,1,300,15.0,15.0,0.8,0.014436181818181818
500.0,3,300,15.0,15.0,0.8,0.009107181818181818
500.0,1,500,15.0,15.0,0.8,0.0164638
500.0,3,500,15.0,15.0,0.8,0.0151623
1500.0,0.33,100,1500.0,1.0,0.8,0.1500562
1500.0,1,100,1500.0,1.0,0.8,0.01615005
1500.0,3,100,1500.0,1.0,0.8,0.01473085
166.0,0.33,100,1500.0,1.0,0.8,0.0672233
166.0,1,100,1500.0,1.0,0.8,0.01573186
166.0,3,100,1500.0,1.0,0.8,0.01202614
500.0,0.33,100,1500.0,1.0,0.8,0.11362034
500.0,1,100,1500.0,1.0,0.8,0.01538961
500.0,3,100,1500.0,1.0,0.8,0.01115075
1500.0,0.33,100,1500.0,150.0,0.8,0.15373782
1500.0,1,100,1500.0,150.0,0.8,0.01865604
1500.0,3,100,1500.0,150.0,0.8,0.01065195
166.0,0.33,100,1500.0,150.0,0.8,0.06648336
166.0,1,100,1500.0,150.0,0.8,0.01542103
166.0,3,100,1500.0,150.0,0.8,0.011236
500.0,0.33,100,1500.0,150.0,0.8,0.1146244
500.0,1,100,1500.0,150.0,0.8,0.01668812
500.0,3,100,1500.0,150.0,0.8,0.01026743
1500.0,0.33,100,1500.0,3.0,0.8,0.14909749
1500.0,1,100,1500.0,3.0,0.8,0.01695505
1500.0,3,100,1500.0,3.0,0.8,0.01043142
166.0,0.33,100,1500.0,3.0,0.8,0.06703861
166.0,1,100,1500.0,3.0,0.8,0.0158803
166.0,3,100,1500.0,3.0,0.8,0.00991668
500.0,0.33,100,1500.0,3.0,0.8,0.1141059
500.0,1,100,1500.0,3.0,0.8,0.01588222
500.0,3,100,1500.0,3.0,0.8,0.01100054
1500.0,0.33,100,30.0,1.0,0.8,0.15124889
1500.0,1,100,30.0,1.0,0.8,0.01434472
1500.0,3,100,30.0,1.0,0.8,0.01556102
166.0,0.33,100,30.0,1.0,0.8,0.06619667
166.0,1,100,30.0,1.0,0.8,0.0151308
166.0,3,100,30.0,1.0,0.8,0.01007639
500.0,0.33,100,30.0,1.0,0.8,0.11533198
500.0,1,100,30.0,1.0,0.8,0.01508256
