lifetime, velocity, clife, cof, face, fripscore
500.0,1,30.0,1.0,0.8,0.42854243
500.0,3,30.0,1.0,0.8,0.6308605
1500.0,0.33,30.0,150.0,0.8,0.44266401
1500.0,1,30.0,150.0,0.8,0.65926148
1500.0,3,30.0,150.0,0.8,0.78910789
166.0,0.33,30.0,150.0,0.8,0.08977223
166.0,1,30.0,150.0,0.8,0.21949864
166.0,3,30.0,150.0,0.8,0.41228625
500.0,0.33,30.0,150.0,0.8,0.22574699
500.0,1,30.0,150.0,0.8,0.44230024
500.0,3,30.0,150.0,0.8,0.63642407
1500.0,0.33,30.0,3.0,0.8,0.4459153
1500.0,1,30.0,3.0,0.8,0.66396968
1500.0,3,30.0,3.0,0.8,0.79261032
166.0,0.33,30.0,3.0,0.8,0.09123733
166.0,1,30.0,3.0,0.8,0.2182895
166.0,3,30.0,3.0,0.8,0.41819362
500.0,0.33,30.0,3.0,0.8,0.22123654
500.0,1,30.0,3.0,0.8,0.43310003
500.0,3,30.0,3.0,0.8,0.63284093
1500.0,0.33,10.0,1.0,0.9,0.44381935
1500.0,1,10.0,1.0,0.9,0.67085996
1500.0,3,10.0,1.0,0.9,0.79361935
166.0,0.33,10.0,1.0,0.9,0.08995347
166.0,1,10.0,1.0,0.9,0.22012579
166.0,3,10.0,1.0,0.9,0.42333079
500.0,0.33,10.0,1.0,0.9,0.22397389
500.0,1,10.0,1.0,0.9,0.43159031
500.0,3,10.0,1.0,0.9,0.647479
1500.0,0.33,10.0,150.0,0.9,0.44377144
1500.0,1,10.0,150.0,0.9,0.67929794
1500.0,3,10.0,150.0,0.9,0.81986624
166.0,0.33,10.0,150.0,0.9,0.09225879
166.0,1,10.0,150.0,0.9,0.22094375
166.0,3,10.0,150.0,0.9,0.42361468
500.0,0.33,10.0,150.0,0.9,0.22480635
500.0,1,10.0,150.0,0.9,0.4465061
500.0,3,10.0,150.0,0.9,0.64570512
1500.0,0.33,10.0,3.0,0.9,0.44404426
1500.0,1,10.0,3.0,0.9,0.66541822
1500.0,3,10.0,3.0,0.9,0.76397428
166.0,0.33,10.0,3.0,0.9,0.09089824
166.0,1,10.0,3.0,0.9,0.22267719
166.0,3,10.0,3.0,0.9,0.421674
500.0,0.33,10.0,3.0,0.9,0.2230724
500.0,1,10.0,3.0,0.9,0.44575554
500.0,3,10.0,3.0,0.9,0.63596592
1500.0,0.33,1500.0,1.0,0.9,0.4418388
1500.0,1,1500.0,1.0,0.9,0.6563154
1500.0,3,1500.0,1.0,0.9,0.80690079
166.0,0.33,1500.0,1.0,0.9,0.09016294
166.0,1,1500.0,1.0,0.9,0.22248909
166.0,3,1500.0,1.0,0.9,0.42199278
500.0,0.33,1500.0,1.0,0.9,0.22452354
500.0,1,1500.0,1.0,0.9,0.43341758
500.0,3,1500.0,1.0,0.9,0.64705661
1500.0,0.33,1500.0,150.0,0.9,0.45443553
1500.0,1,1500.0,150.0,0.9,0.65973002
1500.0,3,1500.0,150.0,0.9,0.76811757
166.0,0.33,1500.0,150.0,0.9,0.09020634
166.0,1,1500.0,150.0,0.9,0.22707966
166.0,3,1500.0,150.0,0.9,0.42420187
500.0,0.33,1500.0,150.0,0.9,0.22901246
500.0,1,1500.0,150.0,0.9,0.44278582
500.0,3,1500.0,150.0,0.9,0.65363809
1500.0,0.33,1500.0,3.0,0.9,0.44319604
1500.0,1,1500.0,3.0,0.9,0.66205106
1500.0,3,1500.0,3.0,0.9,0.8013956
166.0,0.33,1500.0,3.0,0.9,0.08958386
166.0,1,1500.0,3.0,0.9,0.21940959
166.0,3,1500.0,3.0,0.9,0.42335886
500.0,0.33,1500.0,3.0,0.9,0.21991703
500.0,1,1500.0,3.0,0.9,0.4331883
500.0,3,1500.0,3.0,0.9,0.65710113
1500.0,0.33,30.0,1.0,0.9,0.45155791
1500.0,1,30.0,1.0,0.9,0.67627436
1500.0,3,30.0,1.0,0.9,0.78859776
166.0,0.33,30.0,1.0,0.9,0.08951845
166.0,1,30.0,1.0,0.9,0.21841108
166.0,3,30.0,1.0,0.9,0.4255649
