lifetime, velocity, separation, clife, cof, fripscore
1500.0,3,100,15.0,1.0,0.07033412
500.0,1,1000,15.0,1.0,0.0521249
500.0,1,100,15.0,1.0,0.04829041
500.0,3,100,15.0,1.0,0.07501863
500.0,1,300,15.0,1.0,0.05137875757575758
500.0,1,500,15.0,1.0,0.0465049
500.0,1,700,15.0,1.0,0.050537285714285715
1500.0,1,100,15.0,1.5,0.04339842
1500.0,3,100,15.0,1.5,0.06438496
500.0,1,1000,15.0,1.5,0.0423046
500.0,1,100,15.0,1.5,0.04356934
500.0,3,100,15.0,1.5,0.073922
500.0,1,300,15.0,1.5,0.041267454545454545
500.0,1,500,15.0,1.5,0.04193695
500.0,1,700,15.0,1.5,0.039
500.0,1,1000,15.0,100000.0,0.0093024
500.0,1,100,15.0,100000.0,0.00924325
500.0,1,300,15.0,100000.0,0.009101060606060606
500.0,1,500,15.0,100000.0,0.0085328
500.0,1,700,15.0,100000.0,0.009687214285714285
1500.0,1,100,15.0,15.0,0.01911644
1500.0,3,100,15.0,15.0,0.04738778
500.0,1,1000,15.0,15.0,0.0225064
500.0,1,100,15.0,15.0,0.02155675
500.0,3,100,15.0,15.0,0.04158017
500.0,1,300,15.0,15.0,0.02344481818181818
500.0,1,500,15.0,15.0,0.02166645
500.0,1,700,15.0,15.0,0.022037285714285714
1500.0,1,100,15.0,150.0,0.01058882
1500.0,3,100,15.0,150.0,0.01194375
500.0,1,1000,15.0,150.0,0.0123542
500.0,1,100,15.0,150.0,0.01152139
500.0,3,100,15.0,150.0,0.02062428
500.0,1,300,15.0,150.0,0.011537575757575757
500.0,1,500,15.0,150.0,0.01168485
500.0,1,700,15.0,150.0,0.0107635
1500.0,1,100,15.0,1500.0,0.00865618
1500.0,3,100,15.0,1500.0,0.0061283
500.0,1,1000,15.0,1500.0,0.0094287
500.0,1,100,15.0,1500.0,0.01020951
500.0,3,100,15.0,1500.0,0.00845911
500.0,1,300,15.0,1500.0,0.01079739393939394
500.0,1,500,15.0,1500.0,0.0097036
500.0,1,700,15.0,1500.0,0.01000007142857143
1500.0,1,100,15.0,15000.0,0.00930862
1500.0,3,100,15.0,15000.0,0.0106979
500.0,1,1000,15.0,15000.0,0.0113835
500.0,1,100,15.0,15000.0,0.0091321
500.0,3,100,15.0,15000.0,0.0090079
500.0,1,300,15.0,15000.0,0.010026333333333333
500.0,1,500,15.0,15000.0,0.00976215
500.0,1,700,15.0,15000.0,0.010533785714285714
1500.0,1,100,15.0,150000.0,0.00801335
1500.0,3,100,15.0,150000.0,0.0124671
500.0,1,1000,15.0,150000.0,0.0096111
500.0,1,100,15.0,150000.0,0.01012549
500.0,3,100,15.0,150000.0,0.01007229
500.0,1,300,15.0,150000.0,0.010195060606060607
500.0,1,500,15.0,150000.0,0.00904385
500.0,1,700,15.0,150000.0,0.010067
1500.0,1,100,15.0,3.0,0.03692685
1500.0,3,100,15.0,3.0,0.05342106
500.0,1,1000,15.0,3.0,0.0350183
500.0,1,100,15.0,3.0,0.03463395
500.0,3,100,15.0,3.0,0.06158657
500.0,1,300,15.0,3.0,0.033617242424242424
500.0,1,500,15.0,3.0,0.03525745
500.0,1,700,15.0,3.0,0.03319571428571429
1500.0,1,100,15.0,5.0,0.03000144
1500.0,3,100,15.0,5.0,0.04328552
500.0,1,1000,15.0,5.0,0.0286801
500.0,1,100,15.0,5.0,0.03082534
500.0,3,100,15.0,5.0,0.05748394
500.0,1,300,15.0,5.0,0.029377030303030304
500.0,1,500,15.0,5.0,0.0335065
500.0,1,700,15.0,5.0,0.03360885714285714
1500.0,1,100,15.0,50.0,0.01498772
1500.0,3,100,15.0,50.0,0.02501006
500.0,1,1000,15.0,50.0,0.0142645
500.0,1,100,15.0,50.0,0.01590632
500.0,3,100,15.0,50.0,0.02496778
500.0,1,300,15.0,50.0,0.015102757575757575
500.0,1,500,15.0,50.0,0.01552375
500.0,1,700,15.0,50.0,0.014880857142857144
1500.0,1,100,15.0,500.0,0.01036272
1500.0,3,100,15.0,500.0,0.00968812
500.0,1,1000,15.0,500.0,0.0099878
500.0,1,100,15.0,500.0,0.01001264
500.0,3,100,15.0,500.0,0.01149647
500.0,1,300,15.0,500.0,0.010163333333333333
500.0,1,500,15.0,500.0,0.00987505
500.0,1,700,15.0,500.0,0.009826642857142857
1500.0,1,100,15.0,5000.0,0.00881983
1500.0,3,100,15.0,5000.0,0.00891222
500.0,1,1000,15.0,5000.0,0.0098051
500.0,1,100,15.0,5000.0,0.00965374
500.0,3,100,15.0,5000.0,0.00964308
500.0,1,300,15.0,5000.0,0.009379363636363637
500.0,1,500,15.0,5000.0,0.0100016
500.0,1,700,15.0,5000.0,0.010009071428571428
1500.0,1,100,15.0,50000.0,0.00830749
1500.0,3,100,15.0,50000.0,0.00629426
500.0,1,1000,15.0,50000.0,0.0093584
500.0,1,100,15.0,50000.0,0.00991493
500.0,3,100,15.0,50000.0,0.00848175
500.0,1,300,15.0,50000.0,0.009202787878787878
500.0,1,500,15.0,50000.0,0.0091496
500.0,1,700,15.0,50000.0,0.01065
1500.0,1,100,15.0,500000.0,0.00791261
1500.0,3,100,15.0,500000.0,0.00890486
500.0,1,1000,15.0,500000.0,0.0091258
500.0,1,100,15.0,500000.0,0.00889376
500.0,3,100,15.0,500000.0,0.00851964
500.0,1,300,15.0,500000.0,0.009815848484848485
500.0,1,500,15.0,500000.0,0.01043455
500.0,1,700,15.0,500000.0,0.009714214285714286
1500.0,1,100,150.0,1.0,0.2724921
1500.0,3,100,150.0,1.0,0.41964299
500.0,1,1000,150.0,1.0,0.2478791
500.0,1,100,150.0,1.0,0.233772
500.0,3,100,150.0,1.0,0.39167466
500.0,1,300,150.0,1.0,0.23610139393939394
500.0,1,500,150.0,1.0,0.2386106
500.0,1,700,150.0,1.0,0.23405114285714285
1500.0,1,100,150.0,1.5,0.2347622
1500.0,3,100,150.0,1.5,0.35734806
500.0,1,1000,150.0,1.5,0.2248485
500.0,1,100,150.0,1.5,0.20617216
500.0,3,100,150.0,1.5,0.37432244
500.0,1,300,150.0,1.5,0.21770927272727272
500.0,1,500,150.0,1.5,0.21770235
500.0,1,700,150.0,1.5,0.21320785714285714
500.0,1,1000,150.0,100000.0,0.0093323
500.0,1,100,150.0,100000.0,0.00943476
500.0,1,300,150.0,100000.0,0.009655878787878788
500.0,1,500,150.0,100000.0,0.0106604
500.0,1,700,150.0,100000.0,0.009748142857142858
1500.0,1,100,150.0,15.0,0.16339873
1500.0,3,100,150.0,15.0,0.31484246
500.0,1,1000,150.0,15.0,0.160175
500.0,1,100,150.0,15.0,0.15613122
500.0,3,100,150.0,15.0,0.3197663
500.0,1,300,150.0,15.0,0.16353427272727272
500.0,1,500,150.0,15.0,0.16192025
500.0,1,700,150.0,15.0,0.16169485714285714
1500.0,1,100,150.0,150.0,0.09966502
1500.0,3,100,150.0,150.0,0.21093063
500.0,1,1000,150.0,150.0,0.0906359
500.0,1,100,150.0,150.0,0.08892578
500.0,3,100,150.0,150.0,0.19996288
500.0,1,300,150.0,150.0,0.09124648484848485
500.0,1,500,150.0,150.0,0.0949006
500.0,1,700,150.0,150.0,0.09376264285714286
1500.0,1,100,150.0,1500.0,0.02172201
1500.0,3,100,150.0,1500.0,0.05099094
500.0,1,1000,150.0,1500.0,0.026407
500.0,1,100,150.0,1500.0,0.0245623
500.0,3,100,150.0,1500.0,0.05034594
500.0,1,300,150.0,1500.0,0.025297606060606062
500.0,1,500,150.0,1500.0,0.0245876
500.0,1,700,150.0,1500.0,0.022564642857142856
1500.0,1,100,150.0,15000.0,0.00965062
